Word,month,frequency,year
农业机械,6,1,2021
新材料,6,1,2021
新能源汽车,6,1,2021
机器人,6,0,2021
海洋工程,6,1,2021
生物医药,6,3,2021
电力,6,5,2021
航天,6,24,2021
轨道交通,6,2,2021
信息技术,7,0,2021
农业机械,7,1,2021
新材料,7,0,2021
新能源汽车,7,4,2021
机器人,7,4,2021
海洋工程,7,0,2021
生物医药,7,2,2021
电力,7,9,2021
航天,7,13,2021
轨道交通,7,0,2021
信息技术,8,3,2021
农业机械,8,0,2021
新材料,8,0,2021
新能源汽车,8,3,2021
机器人,8,5,2021
海洋工程,8,0,2021
生物医药,8,7,2021
电力,8,8,2021
航天,8,9,2021
轨道交通,8,2,2021
信息技术,9,3,2021
农业机械,9,0,2021
新材料,9,3,2021
新能源汽车,9,2,2021
机器人,9,3,2021
海洋工程,9,0,2021
生物医药,9,3,2021
电力,9,11,2021
航天,9,18,2021
轨道交通,9,1,2021
信息技术,10,3,2021
农业机械,10,1,2021
新材料,10,0,2021
新能源汽车,10,4,2021
机器人,10,4,2021
海洋工程,10,0,2021
生物医药,10,3,2021
电力,10,13,2021
航天,10,13,2021
轨道交通,10,0,2021
信息技术,11,2,2021
农业机械,11,0,2021
新材料,11,6,2021
新能源汽车,11,4,2021
机器人,11,5,2021
海洋工程,11,0,2021
生物医药,11,0,2021
电力,11,16,2021
航天,11,14,2021
轨道交通,11,1,2021
信息技术,12,6,2021
农业机械,12,0,2021
新材料,12,4,2021
新能源汽车,12,3,2021
机器人,12,5,2021
海洋工程,12,0,2021
生物医药,12,1,2021
电力,12,6,2021
航天,12,20,2021
轨道交通,12,1,2021
信息技术,1,14,2022
农业机械,1,0,2022
新材料,1,4,2022
新能源汽车,1,3,2022
机器人,1,12,2022
生物医药,1,4,2022
电力,1,18,2022
航天,1,14,2022
轨道交通,1,1,2022
信息技术,2,3,2022
农业机械,2,0,2022
新材料,2,5,2022
新能源汽车,2,3,2022
机器人,2,4,2022
生物医药,2,4,2022
电力,2,4,2022
航天,2,12,2022
轨道交通,2,2,2022
信息技术,3,2,2022
农业机械,3,1,2022
新材料,3,5,2022
新能源汽车,3,3,2022
机器人,3,2,2022
生物医药,3,1,2022
电力,3,11,2022
航天,3,14,2022
轨道交通,3,0,2022
信息技术,4,5,2022
农业机械,4,0,2022
新材料,4,4,2022
新能源汽车,4,6,2022
机器人,4,2,2022
生物医药,4,3,2022
电力,4,12,2022
航天,4,14,2022
轨道交通,4,1,2022
信息技术,5,4,2022
农业机械,5,0,2022
新材料,5,2,2022
新能源汽车,5,6,2022
机器人,5,1,2022
生物医药,5,6,2022
电力,5,12,2022
航天,5,16,2022
轨道交通,5,6,2022
信息技术,6,3,2022
农业机械,6,0,2022
新材料,6,7,2022
新能源汽车,6,6,2022
机器人,6,3,2022
生物医药,6,10,2022
电力,6,10,2022
航天,6,14,2022
轨道交通,6,3,2022
信息技术,7,5,2022
农业机械,7,2,2022
新材料,7,9,2022
新能源汽车,7,8,2022
机器人,7,3,2022
生物医药,7,5,2022
电力,7,15,2022
航天,7,18,2022
轨道交通,7,2,2022
信息技术,8,4,2022
农业机械,8,2,2022
新材料,8,7,2022
新能源汽车,8,8,2022
机器人,8,5,2022
生物医药,8,6,2022
电力,8,16,2022
航天,8,9,2022
轨道交通,8,2,2022
信息技术,9,1,2022
农业机械,9,1,2022
